Condition,ICD10,ICD10QF,SMRType,FinancialYear,HBT2014,HBT2014QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
All alcohol conditions,,d z,SMR01,2000/01,S08000019,,439.9,339.5,,:,1150,,886,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S08000020,,493.6,360.5,,:,2487,,1822,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S08000021,,990,724.4,,:,10099,,7384,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S08000022,,859.1,621.2,,:,2528,,1828,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S08000023,,583.1,430.5,,:,3423,,2525,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S08000024,,610.5,433.9,,:,4381,,3127,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S08000025,,727.5,557.6,,:,139,,105,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S08000026,,432.2,351.3,,:,95,,77,,,:,1.2
All alcohol conditions,,d z,SMR01,2000/01,S08000027,,553.7,417,,:,2093,,1581,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S08000028,,1353,928.5,,:,358,,246,,,:,1.5
All alcohol conditions,,d z,SMR01,2001/02,S08000015,,887.3,620,,:,3143,,2204,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000016,,573.9,400.5,,:,591,,412,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000017,,522,367.4,,:,757,,531,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000018,,513.5,388.5,,:,1728,,1307,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S08000019,,464.9,346.4,,:,1256,,930,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000020,,524.2,396.1,,:,2684,,2038,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S08000021,,986.9,710.8,,:,10070,,7273,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000022,,969.8,701.9,,:,2853,,2057,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000023,,633.1,467.9,,:,3762,,2776,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000024,,664.7,472.3,,:,4817,,3415,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000025,,693.8,537.5,,:,131,,100,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S08000026,,351.3,288.8,,:,77,,64,,,:,1.2
All alcohol conditions,,d z,SMR01,2001/02,S08000027,,547.9,402.5,,:,2055,,1512,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S08000028,,1494.6,1110.9,,:,396,,294,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S08000015,,1040.5,700.3,,:,3684,,2489,,,:,1.5
All alcohol conditions,,d z,SMR01,2002/03,S08000016,,577,414.6,,:,597,,426,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S08000017,,553.5,399.1,,:,801,,570,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S08000018,,501.9,397.4,,:,1691,,1343,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S08000019,,514.9,381.6,,:,1391,,1029,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S08000020,,555.8,411.8,,:,2859,,2118,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S08000021,,1033.2,743.6,,:,10567,,7608,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S08000022,,1019.8,723.9,,:,3025,,2137,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S08000023,,658.6,481.8,,:,3919,,2855,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S08000024,,629.4,448,,:,4579,,3251,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S08000025,,708.1,540.3,,:,138,,104,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S08000026,,576,391,,:,127,,87,,,:,1.5
All alcohol conditions,,d z,SMR01,2002/03,S08000027,,545.8,404.5,,:,2056,,1528,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S08000028,,1854.7,1241.8,,:,482,,323,,,:,1.5
All alcohol conditions,,d z,SMR01,2003/04,S08000015,,1000,678.8,,:,3565,,2416,,,:,1.5
All alcohol conditions,,d z,SMR01,2003/04,S08000016,,538.9,373.4,,:,574,,395,,,:,1.5
All alcohol conditions,,d z,SMR01,2003/04,S08000017,,549.2,405.3,,:,801,,585,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S08000018,,464.1,352.2,,:,1573,,1194,,,:,1.3
All alcohol conditions,,d z,SMR01,2003/04,S08000019,,492.7,380.5,,:,1336,,1034,,,:,1.3
All alcohol conditions,,d z,SMR01,2003/04,S08000020,,643.4,464.6,,:,3300,,2385,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S08000021,,1010.5,715.4,,:,10230,,7252,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S08000022,,917.8,665.5,,:,2762,,1990,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S08000023,,694.5,489.8,,:,4134,,2892,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S08000024,,631,452.9,,:,4579,,3282,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S08000025,,939.4,673.9,,:,181,,130,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S08000026,,531.4,431.1,,:,111,,90,,,:,1.2
All alcohol conditions,,d z,SMR01,2003/04,S08000027,,579.6,412.5,,:,2180,,1556,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S08000028,,1863.3,1320.9,,:,493,,347,,,:,1.4
All alcohol conditions,,d z,SMR01,2004/05,S08000015,,1014.9,672.8,,:,3637,,2400,,,:,1.5
All alcohol conditions,,d z,SMR01,2004/05,S08000016,,546.2,381.5,,:,586,,403,,,:,1.5
All alcohol conditions,,d z,SMR01,2004/05,S08000017,,533.6,386.6,,:,787,,563,,,:,1.4
All alcohol conditions,,d z,SMR01,2004/05,S08000018,,568.6,396,,:,1947,,1356,,,:,1.4
All alcohol conditions,,d z,SMR01,2004/05,S08000019,,512.9,373.1,,:,1389,,1013,,,:,1.4
All alcohol conditions,,d z,SMR01,2004/05,S08000020,,614.7,448,,:,3166,,2319,,,:,1.4
All alcohol conditions,,d z,SMR01,2004/05,S08000021,,1218.7,851.7,,:,12309,,8630,,,:,1.4
All alcohol conditions,,d z,SMR01,2004/05,S08000022,,921.2,638.3,,:,2788,,1920,,,:,1.5
All alcohol conditions,,d z,SMR01,2004/05,S08000023,,734.1,504.1,,:,4403,,3019,,,:,1.5
All alcohol conditions,,d z,SMR01,2004/05,S08000024,,647.7,470.5,,:,4699,,3417,,,:,1.4
All alcohol conditions,,d z,SMR01,2004/05,S08000025,,1005.8,629.7,,:,200,,123,,,:,1.6
All alcohol conditions,,d z,SMR01,2004/05,S08000026,,614.4,486,,:,131,,105,,,:,1.2
All alcohol conditions,,d z,SMR01,2004/05,S08000027,,549.3,391.4,,:,2067,,1480,,,:,1.4
All alcohol conditions,,d z,SMR01,2004/05,S08000028,,1595.3,1114.8,,:,425,,295,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000015,,1028.4,687.5,,:,3702,,2470,,,:,1.5
All alcohol conditions,,d z,SMR01,2005/06,S08000016,,566.2,398.5,,:,599,,419,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000017,,517.9,403.1,,:,767,,595,,,:,1.3
All alcohol conditions,,d z,SMR01,2005/06,S08000018,,579.5,400.6,,:,2017,,1403,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000019,,409.4,301.3,,:,1138,,834,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000020,,655.5,470.9,,:,3434,,2476,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000021,,1143.3,788,,:,11658,,8037,,,:,1.5
All alcohol conditions,,d z,SMR01,2005/06,S08000022,,915.8,642.1,,:,2812,,1959,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000023,,727.7,507.6,,:,4406,,3054,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000024,,653.3,463.4,,:,4832,,3444,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000025,,794.2,561.4,,:,158,,111,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000026,,768.6,548.3,,:,172,,123,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000027,,559.1,405.6,,:,2134,,1551,,,:,1.4
All alcohol conditions,,d z,SMR01,2005/06,S08000028,,1666.3,1178,,:,450,,315,,,:,1.4
All alcohol conditions,,d z,SMR01,2006/07,S08000015,,1035.2,704.1,,:,3743,,2541,,,:,1.5
All alcohol conditions,,d z,SMR01,2006/07,S08000016,,643.5,471.6,,:,690,,504,,,:,1.4
All alcohol conditions,,d z,SMR01,2006/07,S08000017,,482.8,371.4,,:,726,,554,,,:,1.3
All alcohol conditions,,d z,SMR01,2006/07,S08000018,,633.7,437.2,,:,2212,,1529,,,:,1.4
All alcohol conditions,,d z,SMR01,2006/07,S08000019,,442,327,,:,1249,,924,,,:,1.4
All alcohol conditions,,d z,SMR01,2006/07,S08000020,,676.4,479,,:,3610,,2569,,,:,1.4
All alcohol conditions,,d z,SMR01,2006/07,S08000021,,1162.6,803.6,,:,11935,,8225,,,:,1.5
All alcohol conditions,,d z,SMR01,2006/07,S08000022,,940.7,643.6,,:,2930,,1996,,,:,1.5
All alcohol conditions,,d z,SMR01,2006/07,S08000023,,747.2,514.4,,:,4588,,3143,,,:,1.5
All alcohol conditions,,d z,SMR01,2006/07,S08000024,,740.5,493.5,,:,5545,,3708,,,:,1.5
All alcohol conditions,,d z,SMR01,2006/07,S08000025,,812.3,571,,:,165,,114,,,:,1.4
All alcohol conditions,,d z,SMR01,2006/07,S08000026,,654.3,462.4,,:,146,,104,,,:,1.4
All alcohol conditions,,d z,SMR01,2006/07,S08000027,,564.5,398.8,,:,2168,,1536,,,:,1.4
All alcohol conditions,,d z,SMR01,2006/07,S08000028,,1733.3,1161.6,,:,468,,318,,,:,1.5
All alcohol conditions,,d z,SMR01,2007/08,S08000015,,1084.2,750.5,411.6,,3949,,2737,,1507,,1.4
All alcohol conditions,,d z,SMR01,2007/08,S08000016,,673,491.3,288.9,,733,,533,,308,,1.4
All alcohol conditions,,d z,SMR01,2007/08,S08000017,,571.7,425.4,261.2,,849,,628,,379,,1.4
All alcohol conditions,,d z,SMR01,2007/08,S08000018,,652,465.2,276.7,,2323,,1660,,996,,1.4
All alcohol conditions,,d z,SMR01,2007/08,S08000019,,521.3,382,224.1,,1483,,1084,,642,,1.4
All alcohol conditions,,d z,SMR01,2007/08,S08000020,,709.6,494.8,280.4,,3843,,2692,,1556,,1.4
All alcohol conditions,,d z,SMR01,2007/08,S08000021,,1228.3,809.9,396.9,,12753,,8421,,4211,,1.5
All alcohol conditions,,d z,SMR01,2007/08,S08000022,,978.3,668.6,329.6,,3071,,2093,,1026,,1.5
All alcohol conditions,,d z,SMR01,2007/08,S08000023,,791.4,538.2,279.3,,4868,,3302,,1710,,1.5
All alcohol conditions,,d z,SMR01,2007/08,S08000024,,825.5,526.7,290.7,,6353,,4082,,2301,,1.6
All alcohol conditions,,d z,SMR01,2007/08,S08000025,,1002.9,649.4,327.2,,213,,136,,69,,1.6
All alcohol conditions,,d z,SMR01,2007/08,S08000026,,678.1,504.8,315.7,,148,,111,,69,,1.3
All alcohol conditions,,d z,SMR01,2007/08,S08000027,,535,379.5,206,,2081,,1480,,811,,1.4
All alcohol conditions,,d z,SMR01,2007/08,S08000028,,1338.4,1003,379,,373,,278,,103,,1.3
All alcohol conditions,,d z,SMR01,2008/09,S08000015,,1027.3,684.5,353.4,,3755,,2503,,1291,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S08000016,,630.2,462.2,287.3,,691,,507,,312,,1.4
All alcohol conditions,,d z,SMR01,2008/09,S08000017,,560.4,413,234,,846,,621,,350,,1.4
All alcohol conditions,,d z,SMR01,2008/09,S08000018,,640.4,460.4,263.7,,2265,,1626,,936,,1.4
All alcohol conditions,,d z,SMR01,2008/09,S08000019,,512.9,383.9,210.9,,1469,,1097,,603,,1.3
All alcohol conditions,,d z,SMR01,2008/09,S08000020,,696.2,473,256.7,,3834,,2624,,1449,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S08000021,,1229.3,817.3,396.9,,12886,,8548,,4234,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S08000022,,914.7,633.5,300.1,,2912,,2007,,944,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S08000023,,739.6,500.1,254.3,,4609,,3095,,1571,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S08000024,,745.1,499.9,259.7,,5725,,3858,,2044,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S08000025,,881.5,601.3,273,,189,,126,,58,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S08000026,,670.1,519.7,262.1,,147,,114,,58,,1.3
All alcohol conditions,,d z,SMR01,2008/09,S08000027,,597,407.6,233.4,,2345,,1603,,925,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S08000028,,1142.1,825.9,325.6,,308,,224,,87,,1.4
All alcohol conditions,,d z,SMR01,2009/10,S08000015,,1061,704.8,350.5,,3869,,2566,,1278,,1.5
All alcohol conditions,,d z,SMR01,2009/10,S08000016,,594.7,440.1,258.2,,655,,485,,283,,1.4
All alcohol conditions,,d z,SMR01,2009/10,S08000017,,524.1,377,204.5,,782,,565,,302,,1.4
All alcohol conditions,,d z,SMR01,2009/10,S08000018,,640.3,449.5,249.6,,2273,,1601,,889,,1.4
All alcohol conditions,,d z,SMR01,2009/10,S08000019,,532.5,373.3,201.3,,1533,,1071,,575,,1.4
All alcohol conditions,,d z,SMR01,2009/10,S08000020,,668.7,448.7,236.2,,3720,,2517,,1351,,1.5
All alcohol conditions,,d z,SMR01,2009/10,S08000021,,1160.8,751.7,341.4,,12236,,7916,,3662,,1.5
All alcohol conditions,,d z,SMR01,2009/10,S08000022,,809.4,561.1,261.1,,2573,,1775,,815,,1.4
All alcohol conditions,,d z,SMR01,2009/10,S08000023,,636.5,456.2,226.3,,3986,,2841,,1401,,1.4
All alcohol conditions,,d z,SMR01,2009/10,S08000024,,634.4,432.4,218.5,,4928,,3369,,1731,,1.5
All alcohol conditions,,d z,SMR01,2009/10,S08000025,,1085.7,563.9,274.7,,227,,120,,58,,1.9
All alcohol conditions,,d z,SMR01,2009/10,S08000026,,770.3,575.5,365.3,,176,,131,,83,,1.3
All alcohol conditions,,d z,SMR01,2009/10,S08000027,,532.1,383,211.3,,2100,,1515,,840,,1.4
All alcohol conditions,,d z,SMR01,2009/10,S08000028,,1010,753.5,288.6,,286,,213,,82,,1.3
All alcohol conditions,,d z,SMR01,2010/11,S08000015,,1011.4,683.4,345.8,,3718,,2511,,1275,,1.5
All alcohol conditions,,d z,SMR01,2010/11,S08000016,,543.2,420.4,237.5,,602,,465,,257,,1.3
All alcohol conditions,,d z,SMR01,2010/11,S08000017,,523.5,377.7,204.6,,780,,561,,302,,1.4
All alcohol conditions,,d z,SMR01,2010/11,S08000018,,613.6,432.6,233.1,,2174,,1533,,824,,1.4
All alcohol conditions,,d z,SMR01,2010/11,S08000019,,410.6,299.4,157,,1189,,862,,451,,1.4
All alcohol conditions,,d z,SMR01,2010/11,S08000020,,604.4,414.7,214.5,,3378,,2332,,1222,,1.4
All alcohol conditions,,d z,SMR01,2010/11,S08000021,,1168.8,746,338.4,,12451,,7944,,3661,,1.6
All alcohol conditions,,d z,SMR01,2010/11,S08000022,,765.2,538.9,261.7,,2441,,1713,,821,,1.4
All alcohol conditions,,d z,SMR01,2010/11,S08000023,,623.2,439.8,225.9,,3930,,2766,,1417,,1.4
All alcohol conditions,,d z,SMR01,2010/11,S08000024,,670,447.6,229.3,,5245,,3542,,1864,,1.5
All alcohol conditions,,d z,SMR01,2010/11,S08000025,,1740.7,666.9,344.4,,373,,144,,74,,2.6
All alcohol conditions,,d z,SMR01,2010/11,S08000026,,721.7,479.6,259.3,,164,,109,,58,,1.5
All alcohol conditions,,d z,SMR01,2010/11,S08000027,,559.9,413.1,240,,2232,,1649,,963,,1.4
All alcohol conditions,,d z,SMR01,2010/11,S08000028,,1046.6,729,272.6,,293,,202,,75,,1.5
All alcohol conditions,,d z,SMR01,2011/12,S08000015,,972.8,645.4,304.6,,3588,,2375,,1122,,1.5
All alcohol conditions,,d z,SMR01,2011/12,S08000016,,624.5,455.2,265.7,,694,,505,,295,,1.4
All alcohol conditions,,d z,SMR01,2011/12,S08000017,,498.4,376.3,207.8,,740,,557,,306,,1.3
All alcohol conditions,,d z,SMR01,2011/12,S08000018,,554.3,417.9,228.8,,1992,,1501,,819,,1.3
All alcohol conditions,,d z,SMR01,2011/12,S08000019,,456.3,331.8,195.1,,1325,,961,,564,,1.4
All alcohol conditions,,d z,SMR01,2011/12,S08000020,,621.3,413.9,218.1,,3507,,2346,,1254,,1.5
All alcohol conditions,,d z,SMR01,2011/12,S08000021,,1107.6,713.6,324.4,,11917,,7679,,3542,,1.6
All alcohol conditions,,d z,SMR01,2011/12,S08000022,,732.5,509.3,246.9,,2357,,1630,,777,,1.4
All alcohol conditions,,d z,SMR01,2011/12,S08000023,,721.6,493.2,256.5,,4570,,3106,,1604,,1.5
All alcohol conditions,,d z,SMR01,2011/12,S08000024,,663.4,439.5,222.4,,5266,,3527,,1820,,1.5
All alcohol conditions,,d z,SMR01,2011/12,S08000025,,1679.4,693.8,383.3,,362,,150,,83,,2.4
All alcohol conditions,,d z,SMR01,2011/12,S08000026,,956.9,637.4,357.3,,223,,148,,83,,1.5
All alcohol conditions,,d z,SMR01,2011/12,S08000027,,500,365.3,203.2,,2008,,1467,,821,,1.4
All alcohol conditions,,d z,SMR01,2011/12,S08000028,,929.9,682.6,279.8,,268,,193,,75,,1.4
All alcohol conditions,,d z,SMR01,2012/13,S08000015,,849.3,583,280.2,,3121,,2136,,1031,,1.5
All alcohol conditions,,d z,SMR01,2012/13,S08000016,,556.8,388.9,208.5,,619,,435,,231,,1.4
